English word,Katakana word,Google Translate
nature,テル,Tell
venere,ディヴェネーレ,Divu~enere
it,テヌータ,Tenuta
ginestet,サンテ,Sante
eddies,エディース,Edisu
natural,レイ,Ray
premier,ルー,Lou
cesar,セサール,Cezar
kolibri,コリブリ,Colibri
carbon,ヴォルネ,Wolne
premier,マリー,Marie
curves,カーヴス,Kavusu
aminio,ニオ,Niobium
chacai,チャカイ,Tea
boisset,コースト,Coast
fuori,フオリ,Fuori
renommee,レノメ,Renome
lodovico,ロドヴィコ,Lodovico
saintemiloin,ミリオン,Million
eugenie,ユジェニー,Eugenie
iil,イル,Yl
sanpetrolo,サンペトローロ,Sanpetororo
terradonna,テッラドンナ,Terradon'na
it,パオレッティ,Paoletti
ok,ダルマイヤック,Darumaiyakku
paseo,パセオ,Paseo
stdomingue,ドミング,Domingu
vauban,ヴォーバン,Vauban
watervale,ウオーターヴェイル,Water Vale
daguneau,ダグノー,Daguno
glenmorangie,グレンモーレンジ,Glenmorangie
parea,パレア,Palea
valtelina,ヴァルテッリーナ,Valtellina
montezemolo,モンテツェモロ,Montetsu~emoro
pennino,ペニノ,Penino
pape,パプ,Papp
raro,ラロ,Lalo
cariglio,カリーリオ,Karirio
year,ソレラ,Solera
james,ジェームス,James
reichsrat,ライヒスラート,Reichsbank alert
pierreux,ブルイィ,Burui~i
aqutania,アキタニア,Aquitania
lorenzos,レンゾ,Renzo
rona,カベルネ,Cabernet
fundi,フンディー,Fundi
offida,オフィーダ,Ofida
otto,オット,Ott
gigi,ジジ,Gigi
massotte,マソット,Massot
soda,ソーダー,Sodar
muncagota,ムンカゴタ,Munkagota
semi,セミ,Cicada
couer,クール,Cool
uuml,ライ,Lai
lemberger,レムベルガー,Remuberuga
bvn,ヌーヴォ,Nouveau
touraine,トゥーレーヌ,Touraine
charlotte,シャルロット,Charlotte
la,リ,Re
nikka,スカイ,Sky
grantglenlivet,グレングラントーグレンンリヴェット,Glen Grant over Glen down Rivu~e ~Tsu To
lintenperelle,ル,Le
vittoria,ヴィットリア,Vittoria
baume,ボーム,Baum
lavau,ラヴォー,Lavaux
cru,ビラール,Vilar
mathiot,シャトーマティオ,Chateau Matio
caballera,カバジェッラ,Kabajerra
roncaccio,ロンカッチョ,Ronkatcho
collina,コッリーナ,Collina
us,ローザ,Rosa
seillan,イラン,Iran
neprica,ネプリカ,Nepurika
grafin,グラッフィン,Guraffin
honig,ホーニッグ,Hornig
nv,ボア,Bore
cheateau,シャトー,Chateau
noir,ワイナリー,Winery
terregelesses,テールジュレス,Tail Ju less
goger,ロジェ,Roger
lafont,ポイント,Point
ciro,アレイ,Array
br,ベリー,Berry
baglio,ボルゴ,Borgo
metrano,メトラーノ,Metorano
like,ライク,Like
wise,ワイズ,Wise
apogee,ポジェ,Poje
zealand,シャルドネ,Chardonnay
bottle,ボトル,Bottle
cannubi,カンヌビ,Kan'nubi
drc,ロック,Rock
unpeated,アンピーテッド,Anpiteddo
vino,ゾーニン,Zoning
giancarlo,ジャンカルロ,Giancarlo
pouillyfuisse,フィス,Vis
bouree,ベル,Bell
rizzi,モス,Moss
koshu,シュウ,Shu
villero,ヴィレッロ,Vu~irerro
pierre,ポール,Paul
vv,ブー,Boo
central,レイ,Ray
reunis,フランス,France
hubert,アルト,Alto
lugon,チャレンジ,Challenge
servin,セルヴァン,Cervin
pegase,ガス,Gas
myotte,ヨット,Yacht
gravelin,グラヴラン,Guravuran
dos,スー,Sue
orvieto,オルヴィエート,Orvieto
gramenon,グラムノン,Guramunon
fille,レ,Le
la,ロウル,Rawl
cask,クォーターカスク,Quarter Cask
nonjatta,クレジット,Credit
corbin,バン,Van
nadicom,ナディコム,Nadikomu
rocheuses,シューズ,Shoes
ata,アタ,Ata
parcelle,ラ,La
ernesto,ネスト,Nest
drumguish,ドラムグイッシュ,Drum jerk Shrewsbury
catarratto,カタラット,Kataratto
no,ダーヌ,Danu
kiss,キス,Kiss
drachenfels,ドラシェンフェルス,Dora Shen FELS
une,デュンヌ,De~yun'nu
modiri,モディリ,Modiri
tensnieres,フランス,France
latour,モンテリ,Montlhéry
falangnina,ファランギーナ,Falanghina
terroir,テロワール,Terroir
mevita,メヴィータ,Mevu~ita
elio,エリオ,Elio
casteja,カステジャ,Kasuteja
lodano,ロダーノ,Rodano
rangi,アタランギ,Atarangi
vinsobres,ヴァンソブル,Vu~ansoburu
weiss,ヴァイス,Weiss
aquilon,アクイロン,Akuiron
canteperdorix,カントペルドリ,Kantoperudori
fustel,フステル,Fuster
blanc,コンクール,Contest
breton,カトリーヌ,Catherine
aynat,アイナット,Eye nut
porte,ポルト,Porto
cornish,コーニッシュ,Cornish
proprietaire,ラ,La
montille,ル,Le
dabruzzo,ロゼ,Rose
hubert,ボトル,Bottle
enate,エナーテ,Enate
esperanza,エスペランサ,Esperanza
gimmeldinger,ギメルティンガービエンガルデ,Gimel Tinga over Bien Gull de
monton,ムートン,Mouton
sohler,ソレ,Sole
egrave,ソレヴィ,Sorevu~i
valdespino,ヴァルデスピノ,Vu~arudesupino
monteagudo,モンテアグード,Monteagudo
lemonade,レモネード,Lemonade
hlsdu,サルダ,Sarda
daquitaine,ムートン,Mouton
eleve,オリヴィエ,Olivier
siciliatonnara,トンナーラ,Tonnara
france,コンクール,Contest
cooler,クーラー,Cooler
madeila,マデイラ,Madeira
sir,オーストラリア,Australia
rouget,アリゴテ,Aligote
trale,トラル,Tral
coulaine,クーレーヌ,Kurenu
roulepierre,ピエール,Pierre
ipsis,イプシス,Ipushisu
terme,テルム,Thermes
est,オイスター,Oyster
elemental,エレメンタル,Elemental
rollet,テルトル,Tertre
aurio,オリオル,Oriol
by,ヨ,Yo
bottle,モルト,Malt
almarosa,アルマローザ,Arumaroza
perron,ロン,Ron
berri,ベッリ,Berri
del,カロリー,Calorie
ten,タン,Tan
tastevine,タストヴィネ,Tasutovu~ine
marielaure,テラ,Terra
freis,セラーズ,Sellers
montalcino,フランコ,Franco
botticello,イタリア,Italy
dela,デラ,Della
renmano,レンマノ,Renmano
stone,ストーン,Stone
lenz,ベーレンアウスレーゼ,Beerenauslese
hrmitage,エルミタージュ,Hermitage
sta,カザオト,Kazaoto
edetaria,エデタリア,Edetaria
ormesdepez,ペズ,Pez
elsa,エルサ,Elsa
grand,グランデ,Grande
bastion,バスティオン,Bastion
eric,エコ,Eco
estate,エステイト,Estate
les,イス,The chairs
angelo,アンジェロ,Angelo
neive,ネイヴェ,Neive
biserno,ビセルノ,Biseruno
sale,インソリア,Insoria
chaintr,シャントレ,Chaintre
pics,ピクス,Pics
tollo,トロ,Toro
roi,レ,Le
utiel,トール,Thor
mornington,モーニントン,Mornington
galine,ガリン,Garin
cullen,カレン,Karen
naveran,ナヴァラン,Navu~aran
pucci,クリコ,Curico
rial,アンペリアル,Imperial
perennial,ペレニアル,Perennial
natura,セントラル,Central
mmontefiascone,モンテフィアスコーネ,Montefiascone
baleau,バロー,Barrow
krotenbrunnen,クレーテンブルンネ,Clay Ten Brunn Ne
billion,ビリオン,Virion
fortoul,ボトル,Bottle
cocolico,ココリコ,Cocorico
tiki,ティキ,Tiki
garreau,ガロウ,Garreau
xtant,エクスタント,Ex Tanto
doriane,ドリアンヌ,Dorian'nu
hernics,エルニクス,Erunikusu
frater,テール,Tail
perle,レ,Le
bos,ボス,Boss
emerald,エメラルド,Emerald
torontes,トロンテス,Trontes
barriere,エール,Yale
collas,コラス,Kolas
neckenmarkt,ネッケンマルクト,Neckenmarkt
brovia,ブロヴィア,Burovu~ia
larose,グリュオーラローズ,Guryuo Larose
frizzante,フリッツアンテ,Fritz Ante
astrolabium,アストロラビウム,Astro rabbi Umm
kauri,ローンカウリ,Lone Kauri
de,レッド,Red
sat,ベット,Bed
woodstock,ウッドストック,Woodstock
chevrieres,シュヴリエール,Shuvurieru
avvoltore,アッヴォルトーレ,Up Voll Torre
for,アイラ,Ira
st,スター,Star
antico,アンティコ,Antico
castillo,エル,Elle
hermon,モン,Mon
rosellas,ロゼラス,Rozerasu
caseibidini,カゼィビディニ,Kazibidini
blumeri,ブルメーリ,Burumeri
fombrage,フォンブラージュ,Phone blur Jeu
bellgarde,ベルギャルド,Berugyarudo
ardolou,アルドル,Arudoru
seran,セラン,Serang
lagavulin,ラガヴァーリン,Ragavu~arin
quartz,クワルツ,Kuwarutsu
sassoalto,サッソアルト,Sassoaruto
aiuto,ユート,Jud
dos,ドゼ,Doze
oakville,ヴァレー,Valley
lalou,ラ,La
monteforte,モンテフォルテ,Monteforte
tsubaki,ツバキ,Camellia
in,ワイン,Wine
genevrieres,ムルソージュヌヴリエール,Meursault Junuvurieru
novaserra,ノヴァセッラ,Novu~aserra
piro,ピーロ,Pilo
doktor,ドクトル,Doktor
courbis,クルビス,Kurubisu
fontaleoni,フォンタレオーニ,Phone data Leoni
kalon,カベルネ,Cabernet
gurgue,マルゴー,Margaux
sasso,サッソ,Sasso
cevico,チェヴィコ,Chevu~iko
burdese,ブルデーゼ,Burudeze
hermanos,エルマノス,Hermanos
arn,グレン,Glen
vinos,ビーノス,Binosu
pinotnoir,ヴァロン,Vallon
jeandeman,ジャンデマン,Jandeman
margaine,マルゲーヌ,Marugenu
beast,ビースト,Beast
cabernet,フォルタン,Fortin
miolo,メルロー,Merlot
sargent,サージェント,Sargent
burnfoot,バーンフット,Burn Foot
ioppa,イオッパ,Ioppa
wine,サンニオ,San'nio
cheurlin,シュルラン,Shururan
sabbiona,サッビオーナ,Sabbiona
montfaucon,シャトーモンフォーコン,Chateau Mont Four Con
toso,トーゾ,Toso
orme,ベルオルム,Beruorumu
tsinandali,ツィナンダリ,Tsu~inandari
marsannay,プリュニエ,Puryunie
lequilibrista,レキリブリスタ,Rekiriburisuta
destournel,デストゥールネル,Death Tours Nell
bel,ブル,Bull
jag,ストーンジャグ,Stone jug
coule,ラ,La
votre,ヴォトル,Vu~otoru
carners,カルネロス,Carneros
quarres,ロゼ,Rose
changarnier,シャンガルニエ,Changarnier
clark,クラーク,Clark
olivier,ロ,Russia
hamon,ハモン,Hammon
chaudron,シュードロン,Shoe Delon
chiwawa,ワ,Wa
gioia,ジョイア,Gioia
vuelta,ヴゥエルタ,Vu~ueruta
argillieres,ザルジリエール,Zarujirieru
allees,レザレ,Rezare
hallgartener,ハルガルテナー,Harugarutena
supumante,スプマンテ,Spumante
black,ブラックニッカ,Black Nikka
or,プロプライアタリー,Proprietary
marin,マラン,Malang
et,エト,Et
barolo,ヴァイラ,Vu~aira
blended,カナダ,Canada
ddavola,ダーヴォラ,Davu~ora
fafide,ファフィデ,Fafide
en,ピノ,Pino
trottevieille,プライベートセラー,Private cellar
savinylesbeaune,サヴィニー,Savigny
deguisheim,デギスハイム,Degisuhaimu
cru,バレル,Barrel
chaudron,シロショードロン,White show Delon
st,フリッツ,Fritz
fils,ウェテレス,U~eteresu
larigi,ラリージ,Rariji
cellar,リー,Lee
gevrey,ジユブレイ,Jiyuburei
zapata,サパタ,Zapata
eufloria,ユーフロリア,Yufuroria
canon,カノン,Canon
soremidio,ソレミーディオ,Soremidio
runa,ルナ,Luna
gvb,バ,Bas
et,グット,Goutte
sabazan,サバザン,Sabazan
paran,パラン,Paran
zu,グローセス,Gurosesu
romotineau,ロモティノー,Romotino
pomorie,ポモリエ,Pomorie
chibidaru,チビダル,Chibidaru
sale,アリ,Ali
rouilleres,レ,Le
serie,セリエ,Selye
longuevelle,ロングヴィル,Longueville
derain,ドゥラン,Duran
label,ブリュットイエローラベル,Brut Yellow Label
sigillo,シジッロ,Sigillo
donna,ドンネ,Donne
gewurztraminer,ゲウェルツトラミネール,Game well bracts Lami Nehru
quadrille,ロワール,Loire
bussola,ブッソラ,Bussola
pataille,ランセストラル,Ransesutoraru
vindos,ビニェドス,Binyedosu
sektkellereien,ケル,Kell
malaga,マラガ,Malaga
icone,イコーネ,Ikone
della,ヴァッレ,Valle
noir,ムートニエール,Mut Barbanniers
carpe,カルペ,Calpe
ferreau,ル,Le
red,オンダドーロ,Ondadoro
la,ロ,Russia
campogrande,カンポグランデ,Campo grande
cask,ブラックアダーロウカスク,Blackadder wax Cask
ila,バレル,Barrel
vieille,ペール,Pail
rodrigues,ロドリゲス,Rodriguez
doluca,トルコ,Turkey
podrumi,ポドゥルミ,Podo~urumi
setera,テラ,Terra
superiore,ロ,Russia
lalou,ラルー,LaRue
spadaio,スパダイオ,Supadaio
ripon,ピノ,Pino
einaudibarolo,バローロ,Barolo
espanolas,クリアンサ,Crianza
ligure,ゴルレリ,Gorureri
maggio,マッジオ,Maggio
prologue,プロローグ,Prologue
swsc,ウイスキー,Whiskey
caabarone,カバローネ,Kabarone
fr,フルール,Fleur
europeen,ヨーロピアン,European
gelin,ジュラン,Juran
perele,ペール,Pail
vinifera,ヴィニフェラ,Vinifera
cru,メルキュレー,Merukyure
el,レアル,Real
gallina,ハラーナ,Harana
rosso,モンテロッソ,Monte Rosso
evesham,イヴシャム,Evesham
maramia,マラミア,Maramia
matilde,マティルデ,Mathilde
rot,セット,Set
terme,マルキデテルム,Marukideterumu
caprousse,ルース,Ruth
vauversin,ヴォーヴェルサン,Vaud Vel San
nero,イエロー,Yellow
cottin,コタン,Cottin
demoiselles,ドゥモワゼル,Do~umowazeru
montagny,モンターニュ,Montagne
madrid,マドリッド,Madrid
divresse,ディヴレス,Divuresu
magnien,ジャン,Jean
les,フランセーズ,Française
cru,リアル,Real
mundo,ムンド,Mundo
cherubin,シェルヴァン,Shell Van
checci,チェッキ,Cecchi
podernuovo,ポデルヌオーヴォ,Poderunuovu~o
davide,ダヴィデ,Davide
tritone,トン,Ton
riss,アルザス,Alsace
sauvignon,ジーン,Jean
fransaises,フランセーズ,Française
faultline,フォルトライン,Fault line
brechin,ブレヒン,Burehin
coulee,クロ,Black
bc,パック,Pack
mecella,モッロ,Morro
settesoli,セッテソリ,Settesori
foliette,フォリエット,Folie jet
ptite,プティット,Petite
tneute,テヌーテ,Tenute
chardonnay,キャン,Can
roree,ルイ,Louis
wine,ノー,No
la,アメリ,Amelie
caiarossa,カイアロッサ,Kaiarossa
dillon,ブリオン,Brion
do,メディオディア,Mediodia
voyage,ヴォヤージ,Voyage
nature,テッレ,Terre
zone,ノン,Non
cadei,カデ,Cadet
eguren,エグレン,Eguren
mock,モック,Mock
puglia,グレゴリオ,Gregorio
salerno,サレルノ,Salerno
all,セール,Sale
plaisir,ラ,La
de,リミテッド,Limited
ll,ルイ,Louis
rochemorin,ロシュモラン,Roshumoran
boeuf,ルブッフ,Rubuffu
reine,レーヌ,Renu
glengrant,グラント,Grant
hexagonales,ゼキサゴナル,Zekisagonaru
milk,ミルク,Milk
grains,カンテサンス,Kantesansu
blooms,ブルームス,Blooms
kisvin,キスヴィン,Kisuvu~in
strip,ストリップ,Strip
proof,ディグリースプルーフ,Degree scan proof
tarocco,イルタロッコ,Irutarokko
dureiljanthial,ジャンティアル,Jean tee Al
corbieres,トラヴェルス,Toravu~erusu
la,アイラ,Ira
premier,ラリエ,Rallye
piani,ピアーニ,Piani
marsuret,エキストラ,Extra
rufo,ルーフォ,Rufo
monterotondo,ロトンド,Rotondo
leger,レ,Le
hecula,ヘクラ,Hecla
taste,スト,Strike
hess,ス,Scan
birgit,ビルギット,Birgit
calatrasi,ジネストラ,Jinesutora
distillers,ディスティラー,Distiller
vini,ヴィーノ,Vino
beneventano,ベネヴェンターノ,Benevu~entano
kumala,クマーラ,Kumara
roma,ローマ,Rome
sup,ポ,Po
lagrezette,ラグレゼット,Ragurezetto
montarcino,モンタルチーノ,Montalcino
island,ワイヘケアイランド,Wai Heke Island
mekhong,ランキング,Ranking
aydie,ダイディ,Daidi
scots,キングオブスコッツ,King of Scots
cavenago,カヴェナゴ,Kavu~enago
almasenista,アルマセニスタ,Arumasenisuta
bourgueil,ベレール,Belaire
honoro,オノラ,Onora
selvagrossa,セルヴァグロッサ,Selva Grossa
dam,ダム,Dam
takes,クス,Camphor tree
bersan,サン,San
paul,パウル,Paul
cafe,カフェ,Cafe
aoc,リヴェイラック,Rivu~eirakku
triton,トン,Ton
sapaio,サパイオ,Sapaio
feuillet,トレイ,Tray
gv,ボー,Bo
velvet,ベルベット,Velvet
wallhausen,ヴァルハウゼン,Val Hausen
racanel,ラカネル,Rakaneru
pataille,フルール,Fleur
sol,ソル,Sol
torricella,トッリチェッラ,Torricherra
noelle,ノエル,Noel
zu,ツー,Two
dolcette,ドルチェット,Dolcetto
vignoble,ビネール,Bineru
aoc,サッカー,Football
nume,ヌーメ,Nume
oakville,ラベル,Label
cadastro,カダストロ,Kadasutoro
marcel,コンクール,Contest
miravarl,ミラヴァル,Miravu~aru
amourouses,アムルーズ,Amuruzu
rousse,ルセ,Ruse
winning,ウィニング,Winning
badia,ミディアムボディ,Medium body
beaujolai,ボージョレ,Beaujolais
bott,ボット,Bot
diane,ディアーヌ,Diane
festivo,フェスティボ,Fesutibo
margo,マルゴ,Margot
foxgrove,フォクスグローブ,Fox Grove
saronsberg,サロンスバーグ,Salon Fredericksburg
chevalier,レ,Le
altenberg,フレイブルジェ,Fureiburuje
celler,ドロ,Mud
bitouzetprieur,ペリエール,Perrieres
goichi,ゴイチ,Goichi
chatelain,シャトラン,Chatelain
extra,アイラモルト,Airamoruto
giovanni,ジョバンニ,Giovanni
salome,サロメ,Salome
invecchiato,インヴェッキアート,In Vecchio Art
agricola,コーラ,Coke
pepinelle,ペピネル,Pepineru
francaises,フランセーズ,Française
dell,リア,Rear
crossings,イーランズ,Iranzu
gago,カゴ,Car
fasoli,ファゾーリ,Fazori
grove,グローヴ,Grove
germar,ジェルマール,Gel Mar
lie,ル,Le
saetta,サエッタ,Saetta
diane,ダイアン,Diane
classico,カルーゾ,Caluso
pertimali,ペルティマーリ,Perutimari
cru,デスクラ,Desukura
hessen,ヘッセン,Hesse
extravergine,エクストラヴァージンオリーブオイル,Extra virgin olive oil
lacuesta,マルティネスラクエスタ,Martinez easier Esta
andre,アンドレ,Andre
fugeray,クリュ,Cru
marbec,マルベック,Malbec
pepo,ペ,Bae
soutard,ボルドー,Bordeaux
riesling,メーリンガー,Meringa
vinicole,ヴィニコール,Vie Nicole
nuitsaint,コンティ,Conti
frute,フリュット,Furyutto
alain,アラン,Alan
carolina,カロリナ,Karolina
castle,セントラル,Central
durban,ダーバン,Durban
slope,スロープ,Slope
raudonas,ラウドナス,Raudonasu
nouveau,ヌーヴォ,Nouveau
irishman,アイリッシュマン,Irish Man
poggio,ボッジョ,Boggio
elio,ラ,La
brut,トルバート,Tolbert
neue,デアノイエ,Deanoie
saintjean,ジャン,Jean
botteer,ボッテール,Botteru
ornellaia,オルネライア,Oruneraia
kingston,キングストン,Kingston
foris,フォリス,Follis
schwarhof,シュヴァルホフ,Shuvu~aruhofu
griotte,グリオット,Griot
daliba,ダルバ,Alba
slate,スレート,Slate
cuvee,ボイ,Voi
barre,クロドラバール,Kurodorabaru
gaterie,トリー,Tree
valmaggiore,ヴァルマッジオーレ,Val Mudge ole
sale,ソーレ,Sole
stature,ボトル,Bottle
pielago,ピエラゴ,Pierago
anderson,アンダーソン,Anderson
fiest,フィエスタ,Fiesta
commanderiecru,コマンドリー,Command Lee
vellodoro,ヴェッロドーロ,Vu~errodoro
cadarca,カダルカ,Kadaruka
old,ワールド,World
picked,ピックド,Picked
rauzansegla,セグラ,Segura
auriol,トリオル,Torioru
vieilles,サル,Monkey
sale,モナストレル,Monastrell
bateau,バトー,Batou
granite,グラニテ,Granite
zero,セール,Sale
es,エス,Es
ac,ルーピアック,Rupiakku
gaiana,ガイアナ,Guyana
bersano,ベルサーノ,Berusano
saloon,サルーン,Saloon
bourgogne,ラグランジュ,Lagrange
matthiasson,マサイアソン,Masaiason
azucco,アズッカ,Azukka
prestige,プレスティージュ,Prestige
luli,ルリ,Ruri
label,ブルー,Blue
clos,テレーズ,Therese
gerbotte,ジェルボット,Gel bot
octave,オクターブ,Octave
trapet,プティ,Petit
gran,グラン,Gran
daglan,ダグラン,Daguran
vigne,ジーニ,Gini
rotwein,ワイン,Wine
vinedos,ヴィネドス,Vu~inedosu
teau,クロット,Clot
tersanne,テルサンヌ,Terusan'nu
tyrconnell,ティアコネル,Tiakoneru
callaway,キャロウェイ,Calloway
castelnau,カステルノー,Castelnau
invitare,インヴィターレ,In'vu~itare
vasos,ヴァスコス,Vascos
riesling,ラインガウ,Rheingau
frontera,トロ,Toro
malt,ヴィンテージモルト,Vintage malt
seuil,マゼイル,Mazeiru
grunhaus,グリュンホイザー,Grun Ho homogenizer
valdivieso,ヴァルディビエソ,Vu~arudibieso
alcor,パスカル,Pascal
michel,ナチュール,Nachuru
grigie,グリジェ,Gurije
capbern,カプベルン,Kapuberun
riverau,リヴロー,Rivuro
sisto,シスト,Cyst
formulae,レ,Le
cuv,ベア,Bear
galea,ガレア,Galea
bodeguera,エングエラ,Enguera
arnevel,ダルヌベル,Darunuberu
grand,リネディ,Rinedi
sichilia,シチリア,Sicily
kumala,クマラ,Kumara
covides,ィデス,~Idesu
tara,タラ,Tara
egrave,ソルベ,Sorbet
lincoln,リンカーン,Lincoln
domaine,ヴォーヌロマネ,Vosne Romanee
justinus,ジュスティヌス,Jusutinusu
millenaire,ミレネール,Millenaire
noco,ケイ,Kay
michaeleppan,アッピアーノ,Appiano
ponti,ポンティ,Ponti
livran,リヴラン,Rivuran
frontera,セントラル,Central
mcgibbons,ギボンズ,Gibbons
sale,アル,Al
fabiano,ファビアーノ,Fabiano
kabinett,オット,Ott
piecorto,ピエコルト,Piekoruto
rainoldi,ライノルディ,Rainorudi
chien,シェン,Sheng
england,イングランド,England
wahluke,アメリカ,America
bereshe,ベレッシュ,Beresshu
abreu,ラベル,Label
manso,マンソ,Manso
lindeman,リンデマン,Lindemann
veltliner,ミネラル,Mineral
leewin,ルーウィン,Lewin
jubilee,ジュビリー,Jubilee
boglietti,ボリエッティ,Borietti
sangre,サングレ,Sangre
heissenstein,ハイセンシュタイン,High Sen Stein
glenturret,グレンタレット,Glen turret
bongran,ボングラン,Bonguran
sofia,ソフィア,Sofia
coppo,コッポ,Coppo
ji,イガイ,Mussel
david,デヴィッド,David
daiglepierre,デイグルピエール,Day guru Pierre
and,ド,Do
devils,デヴィルス,Devu~irusu
primitivo,プリミティーヴォ,Zinfandel
krenig,リング,Ring
general,ジェネラル,General
dobogo,ドボゴ,Dobogo
aoc,ボーク,Balk
domain,ドメーヌ,Domaine
ducrubeaucaillou,ボリー,Boley
hoopla,フープラ,Fupura
jade,ジェイド,Jade
davola,ダヴォーラ,Davu~ora
closdebeze,ベーズ,Baize
metal,メタル,Metal
peppino,ペッピーノ,Peppino
montgomeries,モンゴメリーズ,Montgomery's
capitain,キャピタン,Capitan
spat,ポーター,Porter
burle,レ,Le
restituta,レスティトゥータ,Resuti Two data
gianna,ジャンナ,Gianna
churchill,チャーチル,Churchill
johannishof,ヨハニスホーフ,Yohanisuhofu
uitvlugt,ウィットブルグ,Wit Burg
zuc,ズック,Canvas
rosato,ドライロザート,Dorairozato
astra,アストラ,Astra
dor,リー,Lee
bariletta,バリレッタ,Bariretta
davora,ダーヴォラ,Davu~ora
superieur,ボルドーシュペリュール,Bordeaux Gerhard Bae Liu Lumpur
meyernaekel,ネーケル,Nekeru
domaine,モンマンドメーヌ,Mon Man Domaine
real,ラ,La
verrane,ヴェラーネ,Vu~erane
emaria,マリア,Maria
farneto,ファルネート,Faruneto
lodoletta,ロドレッタ,Rodoretta
les,ラヴィエールオスピス,Ravi Yale Hospices
val,ボッレ,Bolle
salvioni,サルヴィオーニ,Saruvu~ioni
springs,セブンスプリングス,Seven Springs
neblina,ネブリーナ,Neburina
pierre,ピエール,Pierre
agitato,アジタート,Agitato
sole,ソレ,Sole
cvr,コロンビアヴァレー,Columbia Valley
girigie,グリジェ,Gurije
carabria,カラブリア,Calabria
wente,ウェンテ,Wente
aco,メドック,Medoc
rouge,ルジュ,Orge
domaine,メーヌ,Maine
aoc,ラック,Rack
coastline,コーストライン,Coastline
maladiere,マラディエール,Maradieru
cres,クレス,Cress
graacher,ヒンメルライヒ,Himmel Reich
neri,ネーリ,Neri
castello,カステッロ,Castello
sarl,ル,Le
antonio,アントニオ,Antonio
demile,ミル,Mill
zind,ブランド,Brand
reserva,レゼルヴ,Reserve
sangioves,サンジョヴェーゼ,Sangiovese
brolo,コッリ,Colli
corbieres,レゼルヴ,Reserve
nuzzo,モス,Moss
gelveri,ゲルヴェリ,Geruvu~eri
pierre,フルール,Fleur
sierra,ロアー,Lore
vilarnau,ヴィラウナウ,Vu~iraunau
westslope,スロープ,Slope
granddad,オールドグランダッドボンデッド,Old Grand Dad Bonn dead
caol,コイル,Coil
fior,フィオール,Fiore
bacigalupi,バチガルピ,Bachigarupi
sori,ソリ,A sled
en,バン,Van
marabino,マラビーノ,Marabino
forster,ライヒスラート,Reichsbank alert
hosten,プレゼント,Present
wine,アリウェン,Ariu~en
canta,カンタ,Kanta
improbable,インプロバブル,Improvisation bubble
radda,ラッダ,Radda
souer,スール,Sur
votano,ヴォータノ,Vu~otano
canredon,カンルドン,Kanrudon
simonselosse,ロス,Loss
supremus,スプレムス,Supuremusu
osa,オーサ,Author
quelciolina,ケルチョリーナ,Keruchorina
domaines,マグナムサイズ,Magnum size
malepere,マルペール,Maruperu
nostalgie,ノスタルジー,Nostalgia
pietro,サンピエトロ,San Pietro
